id,name,category,cuisine,serving,serving_grams,calories,protein,carbs,fat,sugar,source,imageUrl,imageQuery
4513,Kuih Badak Berendam Pisang - small pack,Kuih,Malaysia,small pack,135.0,351.0,4.5,63.0,9.0,31.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4514,Kuih Badak Berendam Pisang - family pack,Kuih,Malaysia,family pack,360.0,936.0,12.0,168.0,24.0,84.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4515,Kuih Badak Berendam Ubi Kayu,Kuih,Malaysia,1 piece,95.0,246.0,4.0,44.0,6.0,19.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4516,Kuih Badak Berendam Ubi Kayu - 2 pieces,Kuih,Malaysia,2 pieces,190.0,492.0,8.0,88.0,12.0,38.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4517,Kuih Badak Berendam Ubi Kayu - 3 pieces,Kuih,Malaysia,3 pieces,285.0,738.0,12.0,132.0,18.0,57.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4518,Kuih Badak Berendam Ubi Kayu - small pack,Kuih,Malaysia,small pack,142.5,369.0,6.0,66.0,9.0,28.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4519,Kuih Badak Berendam Ubi Kayu - family pack,Kuih,Malaysia,family pack,380.0,984.0,16.0,176.0,24.0,76.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4520,Kuih Badak Berendam Labu,Kuih,Malaysia,1 piece,90.0,230.0,4.0,40.0,6.0,19.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4521,Kuih Badak Berendam Labu - 2 pieces,Kuih,Malaysia,2 pieces,180.0,460.0,8.0,80.0,12.0,38.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4522,Kuih Badak Berendam Labu - 3 pieces,Kuih,Malaysia,3 pieces,270.0,690.0,12.0,120.0,18.0,57.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4523,Kuih Badak Berendam Labu - small pack,Kuih,Malaysia,small pack,135.0,345.0,6.0,60.0,9.0,28.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4524,Kuih Badak Berendam Labu - family pack,Kuih,Malaysia,family pack,360.0,920.0,16.0,160.0,24.0,76.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4525,Kuih Badak Berendam Original,Kuih,Malaysia,1 piece,75.0,202.0,3.0,34.0,6.0,16.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4526,Kuih Badak Berendam Original - 2 pieces,Kuih,Malaysia,2 pieces,150.0,404.0,6.0,68.0,12.0,32.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4527,Kuih Badak Berendam Original - 3 pieces,Kuih,Malaysia,3 pieces,225.0,606.0,9.0,102.0,18.0,48.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4528,Kuih Badak Berendam Original - small pack,Kuih,Malaysia,small pack,112.5,303.0,4.5,51.0,9.0,24.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4529,Kuih Badak Berendam Original - family pack,Kuih,Malaysia,family pack,300.0,808.0,12.0,136.0,24.0,64.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4530,Kuih Badak Berendam Rose,Kuih,Malaysia,1 piece,80.0,222.0,3.0,39.0,6.0,21.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4531,Kuih Badak Berendam Rose - 2 pieces,Kuih,Malaysia,2 pieces,160.0,444.0,6.0,78.0,12.0,42.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4532,Kuih Badak Berendam Rose - 3 pieces,Kuih,Malaysia,3 pieces,240.0,666.0,9.0,117.0,18.0,63.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4533,Kuih Badak Berendam Rose - small pack,Kuih,Malaysia,small pack,120.0,333.0,4.5,58.5,9.0,31.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4534,Kuih Badak Berendam Rose - family pack,Kuih,Malaysia,family pack,320.0,888.0,12.0,156.0,24.0,84.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4535,Kuih Badak Berendam Santan,Kuih,Malaysia,1 piece,85.0,255.0,3.0,36.0,11.0,17.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4536,Kuih Badak Berendam Santan - 2 pieces,Kuih,Malaysia,2 pieces,170.0,510.0,6.0,72.0,22.0,34.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4537,Kuih Badak Berendam Santan - 3 pieces,Kuih,Malaysia,3 pieces,255.0,765.0,9.0,108.0,33.0,51.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4538,Kuih Badak Berendam Santan - small pack,Kuih,Malaysia,small pack,127.5,382.0,4.5,54.0,16.5,25.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4539,Kuih Badak Berendam Santan - family pack,Kuih,Malaysia,family pack,340.0,1020.0,12.0,144.0,44.0,68.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4540,Kuih Badak Berendam Pulut,Kuih,Malaysia,1 piece,95.0,260.0,4.0,43.0,8.0,18.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4541,Kuih Badak Berendam Pulut - 2 pieces,Kuih,Malaysia,2 pieces,190.0,520.0,8.0,86.0,16.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4542,Kuih Badak Berendam Pulut - 3 pieces,Kuih,Malaysia,3 pieces,285.0,780.0,12.0,129.0,24.0,54.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4543,Kuih Badak Berendam Pulut - small pack,Kuih,Malaysia,small pack,142.5,390.0,6.0,64.5,12.0,27.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4544,Kuih Badak Berendam Pulut - family pack,Kuih,Malaysia,family pack,380.0,1040.0,16.0,172.0,32.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4545,Kuih Cakar Ayam Pandan,Kuih,Malaysia,1 piece,75.0,210.0,3.0,36.0,6.0,18.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4546,Kuih Cakar Ayam Pandan - 2 pieces,Kuih,Malaysia,2 pieces,150.0,420.0,6.0,72.0,12.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4547,Kuih Cakar Ayam Pandan - 3 pieces,Kuih,Malaysia,3 pieces,225.0,630.0,9.0,108.0,18.0,54.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4548,Kuih Cakar Ayam Pandan - small pack,Kuih,Malaysia,small pack,112.5,315.0,4.5,54.0,9.0,27.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4549,Kuih Cakar Ayam Pandan - family pack,Kuih,Malaysia,family pack,300.0,840.0,12.0,144.0,24.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4550,Kuih Cakar Ayam Gula Melaka,Kuih,Malaysia,1 piece,80.0,234.0,3.0,42.0,6.0,24.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4551,Kuih Cakar Ayam Gula Melaka - 2 pieces,Kuih,Malaysia,2 pieces,160.0,468.0,6.0,84.0,12.0,48.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4552,Kuih Cakar Ayam Gula Melaka - 3 pieces,Kuih,Malaysia,3 pieces,240.0,702.0,9.0,126.0,18.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4553,Kuih Cakar Ayam Gula Melaka - small pack,Kuih,Malaysia,small pack,120.0,351.0,4.5,63.0,9.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4554,Kuih Cakar Ayam Gula Melaka - family pack,Kuih,Malaysia,family pack,320.0,936.0,12.0,168.0,24.0,96.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4555,Kuih Cakar Ayam Kelapa,Kuih,Malaysia,1 piece,85.0,250.0,4.0,36.0,10.0,17.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4556,Kuih Cakar Ayam Kelapa - 2 pieces,Kuih,Malaysia,2 pieces,170.0,500.0,8.0,72.0,20.0,34.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4557,Kuih Cakar Ayam Kelapa - 3 pieces,Kuih,Malaysia,3 pieces,255.0,750.0,12.0,108.0,30.0,51.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4558,Kuih Cakar Ayam Kelapa - small pack,Kuih,Malaysia,small pack,127.5,375.0,6.0,54.0,15.0,25.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4559,Kuih Cakar Ayam Kelapa - family pack,Kuih,Malaysia,family pack,340.0,1000.0,16.0,144.0,40.0,68.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4560,Kuih Cakar Ayam Jagung,Kuih,Malaysia,1 piece,90.0,239.0,4.0,40.0,7.0,19.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4561,Kuih Cakar Ayam Jagung - 2 pieces,Kuih,Malaysia,2 pieces,180.0,478.0,8.0,80.0,14.0,38.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4562,Kuih Cakar Ayam Jagung - 3 pieces,Kuih,Malaysia,3 pieces,270.0,717.0,12.0,120.0,21.0,57.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4563,Kuih Cakar Ayam Jagung - small pack,Kuih,Malaysia,small pack,135.0,358.0,6.0,60.0,10.5,28.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4564,Kuih Cakar Ayam Jagung - family pack,Kuih,Malaysia,family pack,360.0,956.0,16.0,160.0,28.0,76.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4565,Kuih Cakar Ayam Coklat,Kuih,Malaysia,1 piece,85.0,265.0,4.0,42.0,9.0,23.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4566,Kuih Cakar Ayam Coklat - 2 pieces,Kuih,Malaysia,2 pieces,170.0,530.0,8.0,84.0,18.0,46.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4567,Kuih Cakar Ayam Coklat - 3 pieces,Kuih,Malaysia,3 pieces,255.0,795.0,12.0,126.0,27.0,69.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4568,Kuih Cakar Ayam Coklat - small pack,Kuih,Malaysia,small pack,127.5,398.0,6.0,63.0,13.5,34.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4569,Kuih Cakar Ayam Coklat - family pack,Kuih,Malaysia,family pack,340.0,1060.0,16.0,168.0,36.0,92.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4570,Kuih Cakar Ayam Kacang,Kuih,Malaysia,1 piece,87.0,275.0,6.0,38.0,11.0,18.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4571,Kuih Cakar Ayam Kacang - 2 pieces,Kuih,Malaysia,2 pieces,174.0,550.0,12.0,76.0,22.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4572,Kuih Cakar Ayam Kacang - 3 pieces,Kuih,Malaysia,3 pieces,261.0,825.0,18.0,114.0,33.0,54.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4573,Kuih Cakar Ayam Kacang - small pack,Kuih,Malaysia,small pack,130.5,412.0,9.0,57.0,16.5,27.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4574,Kuih Cakar Ayam Kacang - family pack,Kuih,Malaysia,family pack,348.0,1100.0,24.0,152.0,44.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4575,Kuih Cakar Ayam Durian,Kuih,Malaysia,1 piece,90.0,257.0,4.0,40.0,9.0,20.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4576,Kuih Cakar Ayam Durian - 2 pieces,Kuih,Malaysia,2 pieces,180.0,514.0,8.0,80.0,18.0,40.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4577,Kuih Cakar Ayam Durian - 3 pieces,Kuih,Malaysia,3 pieces,270.0,771.0,12.0,120.0,27.0,60.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4578,Kuih Cakar Ayam Durian - small pack,Kuih,Malaysia,small pack,135.0,386.0,6.0,60.0,13.5,30.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4579,Kuih Cakar Ayam Durian - family pack,Kuih,Malaysia,family pack,360.0,1028.0,16.0,160.0,36.0,80.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4580,Kuih Cakar Ayam Pisang,Kuih,Malaysia,1 piece,90.0,234.0,3.0,42.0,6.0,21.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4581,Kuih Cakar Ayam Pisang - 2 pieces,Kuih,Malaysia,2 pieces,180.0,468.0,6.0,84.0,12.0,42.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4582,Kuih Cakar Ayam Pisang - 3 pieces,Kuih,Malaysia,3 pieces,270.0,702.0,9.0,126.0,18.0,63.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4583,Kuih Cakar Ayam Pisang - small pack,Kuih,Malaysia,small pack,135.0,351.0,4.5,63.0,9.0,31.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4584,Kuih Cakar Ayam Pisang - family pack,Kuih,Malaysia,family pack,360.0,936.0,12.0,168.0,24.0,84.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4585,Kuih Cakar Ayam Ubi Kayu,Kuih,Malaysia,1 piece,95.0,246.0,4.0,44.0,6.0,19.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4586,Kuih Cakar Ayam Ubi Kayu - 2 pieces,Kuih,Malaysia,2 pieces,190.0,492.0,8.0,88.0,12.0,38.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4587,Kuih Cakar Ayam Ubi Kayu - 3 pieces,Kuih,Malaysia,3 pieces,285.0,738.0,12.0,132.0,18.0,57.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4588,Kuih Cakar Ayam Ubi Kayu - small pack,Kuih,Malaysia,small pack,142.5,369.0,6.0,66.0,9.0,28.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4589,Kuih Cakar Ayam Ubi Kayu - family pack,Kuih,Malaysia,family pack,380.0,984.0,16.0,176.0,24.0,76.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4590,Kuih Cakar Ayam Labu,Kuih,Malaysia,1 piece,90.0,230.0,4.0,40.0,6.0,19.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4591,Kuih Cakar Ayam Labu - 2 pieces,Kuih,Malaysia,2 pieces,180.0,460.0,8.0,80.0,12.0,38.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4592,Kuih Cakar Ayam Labu - 3 pieces,Kuih,Malaysia,3 pieces,270.0,690.0,12.0,120.0,18.0,57.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4593,Kuih Cakar Ayam Labu - small pack,Kuih,Malaysia,small pack,135.0,345.0,6.0,60.0,9.0,28.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4594,Kuih Cakar Ayam Labu - family pack,Kuih,Malaysia,family pack,360.0,920.0,16.0,160.0,24.0,76.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4595,Kuih Cakar Ayam Original,Kuih,Malaysia,1 piece,75.0,202.0,3.0,34.0,6.0,16.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4596,Kuih Cakar Ayam Original - 2 pieces,Kuih,Malaysia,2 pieces,150.0,404.0,6.0,68.0,12.0,32.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4597,Kuih Cakar Ayam Original - 3 pieces,Kuih,Malaysia,3 pieces,225.0,606.0,9.0,102.0,18.0,48.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4598,Kuih Cakar Ayam Original - small pack,Kuih,Malaysia,small pack,112.5,303.0,4.5,51.0,9.0,24.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4599,Kuih Cakar Ayam Original - family pack,Kuih,Malaysia,family pack,300.0,808.0,12.0,136.0,24.0,64.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4600,Kuih Cakar Ayam Rose,Kuih,Malaysia,1 piece,80.0,222.0,3.0,39.0,6.0,21.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4601,Kuih Cakar Ayam Rose - 2 pieces,Kuih,Malaysia,2 pieces,160.0,444.0,6.0,78.0,12.0,42.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4602,Kuih Cakar Ayam Rose - 3 pieces,Kuih,Malaysia,3 pieces,240.0,666.0,9.0,117.0,18.0,63.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4603,Kuih Cakar Ayam Rose - small pack,Kuih,Malaysia,small pack,120.0,333.0,4.5,58.5,9.0,31.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4604,Kuih Cakar Ayam Rose - family pack,Kuih,Malaysia,family pack,320.0,888.0,12.0,156.0,24.0,84.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4605,Kuih Cakar Ayam Santan,Kuih,Malaysia,1 piece,85.0,255.0,3.0,36.0,11.0,17.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4606,Kuih Cakar Ayam Santan - 2 pieces,Kuih,Malaysia,2 pieces,170.0,510.0,6.0,72.0,22.0,34.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4607,Kuih Cakar Ayam Santan - 3 pieces,Kuih,Malaysia,3 pieces,255.0,765.0,9.0,108.0,33.0,51.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4608,Kuih Cakar Ayam Santan - small pack,Kuih,Malaysia,small pack,127.5,382.0,4.5,54.0,16.5,25.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4609,Kuih Cakar Ayam Santan - family pack,Kuih,Malaysia,family pack,340.0,1020.0,12.0,144.0,44.0,68.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4610,Kuih Cakar Ayam Pulut,Kuih,Malaysia,1 piece,95.0,260.0,4.0,43.0,8.0,18.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4611,Kuih Cakar Ayam Pulut - 2 pieces,Kuih,Malaysia,2 pieces,190.0,520.0,8.0,86.0,16.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4612,Kuih Cakar Ayam Pulut - 3 pieces,Kuih,Malaysia,3 pieces,285.0,780.0,12.0,129.0,24.0,54.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4613,Kuih Cakar Ayam Pulut - small pack,Kuih,Malaysia,small pack,142.5,390.0,6.0,64.5,12.0,27.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4614,Kuih Cakar Ayam Pulut - family pack,Kuih,Malaysia,family pack,380.0,1040.0,16.0,172.0,32.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4615,Kuih Wajik Pandan,Kuih,Malaysia,1 piece,75.0,210.0,3.0,36.0,6.0,18.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4616,Kuih Wajik Pandan - 2 pieces,Kuih,Malaysia,2 pieces,150.0,420.0,6.0,72.0,12.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4617,Kuih Wajik Pandan - 3 pieces,Kuih,Malaysia,3 pieces,225.0,630.0,9.0,108.0,18.0,54.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4618,Kuih Wajik Pandan - small pack,Kuih,Malaysia,small pack,112.5,315.0,4.5,54.0,9.0,27.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4619,Kuih Wajik Pandan - family pack,Kuih,Malaysia,family pack,300.0,840.0,12.0,144.0,24.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4620,Kuih Wajik Gula Melaka,Kuih,Malaysia,1 piece,80.0,234.0,3.0,42.0,6.0,24.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4621,Kuih Wajik Gula Melaka - 2 pieces,Kuih,Malaysia,2 pieces,160.0,468.0,6.0,84.0,12.0,48.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4622,Kuih Wajik Gula Melaka - 3 pieces,Kuih,Malaysia,3 pieces,240.0,702.0,9.0,126.0,18.0,72.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4623,Kuih Wajik Gula Melaka - small pack,Kuih,Malaysia,small pack,120.0,351.0,4.5,63.0,9.0,36.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4624,Kuih Wajik Gula Melaka - family pack,Kuih,Malaysia,family pack,320.0,936.0,12.0,168.0,24.0,96.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4625,Kuih Wajik Kelapa,Kuih,Malaysia,1 piece,85.0,250.0,4.0,36.0,10.0,17.0,estimated_curated_kuih_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4626,Kuih Wajik Kelapa - 2 pieces,Kuih,Malaysia,2 pieces,170.0,500.0,8.0,72.0,20.0,34.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4627,Kuih Wajik Kelapa - 3 pieces,Kuih,Malaysia,3 pieces,255.0,750.0,12.0,108.0,30.0,51.0,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
4628,Kuih Wajik Kelapa - small pack,Kuih,Malaysia,small pack,127.5,375.0,6.0,54.0,15.0,25.5,estimated_kuih_portion_formula,https://source.unsplash.com/800x600/?malaysian%20kuih%20dessert,malaysian kuih dessert
